date,symbol,open,close,low,high,volume
2023-05-10,AMZN,108.099998,110.190002,108.050003,110.669998,78627600
2023-05-11,AMZN,111.029999,112.18,110.489998,113.279999,74924800
2023-05-12,AMZN,112.160004,110.260002,109.32,112.639999,49810100
2023-05-15,AMZN,111.150002,111.199997,109.25,112.290001,53011100
2023-05-16,AMZN,111.050003,113.400002,111.050003,114.790001,71472900
2023-05-17,AMZN,114.889999,115.5,114.220001,115.830002,65655200
2023-05-18,AMZN,116.690002,118.150002,116.339996,118.599998,73174100
2023-05-19,AMZN,118.160004,116.25,115.699997,118.309998,54990200
2023-05-22,AMZN,116.769997,115.010002,114.25,116.769997,70741100
2023-05-23,AMZN,114.269997,114.989998,113.779999,117.139999,67576300
2023-05-24,AMZN,115.349998,116.75,115.019997,117.339996,63487900
2023-05-25,AMZN,116.629997,115,114.309998,116.870003,66496700
2023-05-26,AMZN,116.040001,120.110001,116.019997,121.5,96779900
2023-05-30,AMZN,122.370003,121.660004,119.860001,122.919998,64314800
2023-05-31,AMZN,121.449997,120.580002,119.169998,122.040001,72800800
2023-06-01,AMZN,120.690002,122.769997,119.93,123.489998,54375100
2023-06-02,AMZN,124.919998,124.25,124.019997,126.389999,61215000
2023-06-05,AMZN,123.360001,125.300003,123.029999,125.800003,47950100
2023-06-06,AMZN,125.07,126.610001,125,127.400002,45695200
2023-06-07,AMZN,127.010002,121.230003,120.629997,127.370003,95663300
2023-06-08,AMZN,123.010002,124.25,122.260002,125.629997,62159300
2023-06-09,AMZN,124.080002,123.43,123.190002,125.800003,51330000
2023-06-12,AMZN,124.019997,126.57,123.529999,126.779999,51338000
2023-06-13,AMZN,128.119995,126.660004,125.18,128.410004,50564800
2023-06-14,AMZN,126.699997,126.419998,124.120003,126.949997,52422500
